"145.290","-","ME","Wales","","W1PIG","100.0","",,"Androscoggin","","","W1PIG Net","2023/05/11",
"145.300","-","RI","Portsmouth","D-STAR    ","W1AAD","C","",,"Newport","","","[D-STAR REF069 C]","2019/01/04",
"145.310","-","MA","Boston","","W1KBN","","123.0",,"Suffolk","","","","2025/08/16",
"145.310","-","MA","Worcester","","W1WPI","100.0","",,"Worcester","","460920","449.025 (Worcester, MA)","2025/05/10",
"145.310","-","ME","Holden","DMR    ","N1ME","CC10","",,"Penobscot","","","DMR-MARC New England Net","2016/07/18",
"145.310","-","NH","Derry","DMR    ","K1QVC","CC1","",,"Rockingham","","","DMR-MARC New England Net","2015/10/10",
"145.320","-","MA","Swansea","NXDN    ","N1JET","RAN1","",,"Bristol","","","","2025/01/05",
"145.320","-","ME","Buckfield","DMR    ","W1BKW","CC12","",,"Oxford","","","DMR-MARC New England Net","2023/11/12",
"145.320","-","NH","Salem","D-STAR    ","K1HRO","C","","Local","Rockingham","","","","2012/09/06",
"145.330","-","CT","Manchester","","N1TUP","88.5","",,"Hartford","","","","2022/11/13",
"145.330","-","MA","Westford","D-STAR    ","WB1GOF","C","",,"Middlesex","","","","2014/03/11",
"145.330","-","NH","Hanover","","W1FN","100.0","",,"Grafton","","363356","[443.550 (Hanover, NH)]","2025/05/10",
"145.330","-","RI","Bristol","","K1CW","94.8","",,"Bristol","","","","2022/08/29",
"145.340","-","MA","Gardner","DMR    ","N1WW","CC3","",,"Worcester","","","DMR-MARC New England Net","2017/11/21",
"145.340","-","ME","Falmouth","DMR    ","W1IMD","CC12","",,"Cumberland","","","DMR-MARC New England Net","2015/10/10",
"145.350","-","CT","Wethersfield","","KA1BQO"," ","",,"Hartford","","","","2025/05/10",
"145.350","-","MA","Haverhill","","KT1S","136.5","","OFF","Essex","","","","2025/08/30",
"145.350","-","ME","Lincoln","DMR    ","KC1FRJ","CC12","",,"Penobscot","","","DMR-MARC New England Net","2024/05/06",
"145.350","-","RI","North Providence","","N1BS","67.0","67.0*",,"Providence","","997017/NB1RI-R","NB1RI Net","2025/08/26",
"145.360","-","MA","Eastham","DMR    ","W1MLL","CC10","",,"Barnstable","","","DMR-MARC New England Net","2017/12/10",
"145.360","-","NH","Gilford","DMR    ","K1RE","CC3","",,"Belknap","","","DMR-MARC New England Net","2022/01/23",
"145.370","-","CT","Torrington","","KB1AEV","151.4","151.4*",,"Litchfield","","","","2018/11/18",
"145.370","-","MA","Gardner","","N1WW","136.5","136.5*",,"Worcester","8581","","145.450 (Fitchburg, MA)","2024/05/06",
"145.370","-","MA","Marblehead","DMR    ","K1XML","CC0","","Local","Essex","","","DMR-MARC New England Net","2016/02/15",
"145.370","-","ME","Camden","DMR    ","K1XI","CC12","",,"Knox","","","DMR-MARC New England Net","2024/05/06",
"145.370","-","NH","Whitefield","","N1PCE","114.8","",,"Coos","","","449.825 (Lancaster, NH)","2025/05/10",
"145.370","-","RI","North Providence","DMR    ","N1JBC","CC2","",,"Providence","","","","2025/08/27",
"145.380","-","MA","Walpole","DMR    ","W1JFR","CC12","",,"Norfolk","","","DMR-MARC New England Net","2016/11/10",
"145.380","-","NH","Madbury","D-STAR    ","N1HIT","C","",,"Strafford","","","","2015/11/30",
"145.390","-","CT","Ledyard ","","W1DX","156.7","","Local","New London","","","224.380 (Ledyard, CT)","2015/11/05",
"145.390","-","MA","Marshfield","P25YSFD-STARM17NXDNDMR/FM ","W1ATD","67.0/CC9/RAN1/NAC293/C/CAN0","",,"Plymouth","4320","959127","Brandmeister DMR Net","2024/11/10",
"145.390","-","ME","Wilton","","W1PIG","100.0","",,"Franklin","","","W1PIG Net","2023/05/11",
"145.390","-","VT","Mt. Equinox","","WA1ZMS","100.0","",,"Bennington","","","","2025/05/10",
"145.400","-","NH","Kensington","D-STAR    ","KB1TIX","C","",,"Rockingham","","","","2012/09/06",
"145.400","-","RI","Bristol","DMR    ","KB1SLA","CC2","",,"Bristol","","","","2022/08/29",
"145.410","-","CT","Vernon","","W1HDN","141.3","141.3*",,"Tolland","","","W1HDN Net","2025/08/18",
"145.410","-","MA","Harvard","","W1DVC","74.4","",,"Worcester","","","","2025/05/10",
"145.410","-","ME","Alfred","","WJ1L","103.5","",,"York","","","448.725 (Alfred, ME)","2025/05/10",
"145.420","-","MA","Fall River","D-STAR    ","K1RFI","C","",,"Bristol","","","D-STAR REF050 C","2015/12/24",
"145.420","-","ME","Knox","DMR    ","W1EMA","CC12","",,"Waldo","","","","2024/12/28",
"145.430","-","CT","Bloomfield","DMR    ","KB1TTN","CC1","",,"Hartford","","","CT ARES DMR Net","2015/10/12",
"145.430","-","MA","Burlington","","KC1CLA","146.2","",,"Middlesex","","","MMRA Net,[MMRA2 Net]","2025/03/22",
"145.430","-","ME","Dresden","DMR    ","N1UGR","CC12","",,"Lincoln","","","DMR-MARC New England Net","2016/03/28",
"145.430","-","NH","Cannon Mtn.","DMR    ","K1EME","CC1","",,"Grafton","","","Brandmeister DMR Net","2017/02/13",
"145.440","-","NH","Hampton","D-STAR    ","K1HBR","C","",,"Rockingham","","","D-STAR REF050 C","2014/04/30",
"145.450","-","CT","Newington","","W1AW","127.3","",,"Hartford","","","224.840 (Newington, CT)","2025/05/10",
"145.450","-","MA","Fitchburg","","W1GZ","74.4","",,"Worcester","8433","688832","145.370 (Gardner, MA)","2014/03/13",
"145.450","-","NH","North Conway","","W1MWV","100.0","",,"Carroll","","","","2024/05/06",
"145.450","-","RI","Portsmouth","","W1SYE","100.0","",,"Newport","","","","2025/05/10",
"145.460","-","NH","Franklin","DMR    ","K1DLM","CC1","",,"Merrimack","","","DMR-MARC New England Net","2024/10/20",
"145.470","-","CT","Glastonbury","","K9OEM","77.0","",,"Hartford","","","[KB1AEV Net]","2021/06/12",
"145.470","-","CT","Ridgefield","","KR1COM","100.0","",,"Fairfield","","","","2024/05/06",
"145.470","-","MA","Danvers","","NS1RA","136.5","",,"Essex","4427","314375","","2014/01/26",
"145.470","-","ME","Orono","","W1YA","71.9","","Local","Penobscot","","","","2024/11/10",
"145.470","-","VT","Warren","","KI1P","100.0","77.0",,"Addison","","","146.820 (Northfield, VT)","2026/01/05",
"145.480","-","MA","Worcester","NXDN    ","N1WVQ","RAN11","",,"Worcester","","","","2023/04/17",
"145.480","-","NH","Pembroke","P25YSFD-STARM17NXDNDMR    ","NE1DS","C/CC1/NAC293/CAN0/RAN1","",,"Merrimack","","","","2024/11/24",
"145.490","-","CT","Meriden","D-STAR    ","W1ECV","C","",,"New Haven","","","D-STAR REF069 C","2015/01/26",
"145.490","-","MA","Dartmouth","","W1SMA","67.0","","OFF","Bristol","","","RB:2m/440","2025/09/11",
"145.490","-","MA","Ipswich","","W1IEM","131.8","",,"Essex","","","","2024/05/06",
"145.490","-","MA","North Adams","","KC1EB","100.0","",,"Berkshire","","","","2018/07/02",
"145.490","-","ME","Washington","","KC1CG","91.5","","OFF","Knox","","","","2023/11/13",
"145.590","S","MA","Acushnet","","W1AFD","67.0","67.0",,"Bristol","4436","4436","","2013/04/23",
"145.600","S","VT","West Arlington","","W2FCC","123.0","",,"Bennington","4254","","","2012/02/11",
"146.400","*","ME","Sebec","","K1PQ","","","Local","Piscataquis","","896607","*Input: 146.400 (+0 kHz), 444.950 (Brownville,ME)","2024/02/28",
"146.410","*","MA","Assonet","NXDN    ","N1KIM","RAN1","",,"Bristol","","","","2025/01/05",
"146.415","*","CT","Killingworth","P25/FM ","KB1MMR","NAC141/141.3","NAC141/141.3*",,"Middlesex","","","*Input: 147.415 (+1 MHz), RB:2m/440","2025/08/18",
"146.430","*","MA","Hingham","DMR    ","K1GAS","CC1","",,"Plymouth","","","DMR-MARC New England Net","2025/07/20",
"146.440","*","RI","Cumberland","NXDN    ","KB1ISZ","RAN1","",,"Providence","","","","2020/07/17",
"146.445","*","CT","Bridgeport","","W1BPT","151.4","151.4*",,"Fairfield","4395","147345/KB1AEV-R","*Input: 147.445 (+1 MHz), KB1AEV Net","2025/08/26",
"146.450","*","MA","Boston","NXDN    ","N1PA","RAN1","",,"Suffolk","","","","2019/05/07",
"146.450","*","MA","Westford","DMR    ","WB1GOF","CC1","",,"Middlesex","","","Brandmeister DMR Net","2023/11/01",
"146.460","*","MA","Haverhill","DMR    ","N1MYY","CC6","",,"Essex","","","DMR-MARC New England Net","2022/09/10",
"146.460","*","RI","West Greenwich","","NB1RI","67.0","","Local","Kent","","","","2022/12/04",
"146.470","*","MA","Dennis","DMR    ","W1MLL","CC11","",,"Barnstable","","","DMR-MARC New England Net","2017/12/10",
"146.470","*","MA","Sudbury","DMR    ","K1IR","CC0","","Local","Middlesex","","","DMR-MARC New England Net","2019/06/05",
"146.470","*","MA","Wilmington","DMR    ","K1KZP","CC10","","OFF","Middlesex","","","DMR-MARC New England Net","2025/08/30",
"146.475","*","CT","Norwalk","","W1NLK","100.0","100.0",,"Fairfield","","","*Input: 147.475 (+1 MHz)","2012/09/12",
"146.480","*","MA","Worcester","P25/FM ","WE1CT","NAC250/107.2","",,"Worcester","","","","2018/06/20",
